[1, 2017]	22507570807.719795
[1, 2019]	14611816445.785261
[10, 2015]	53898497955.07804
[10, 2017]	17509171844.77064
[11, 2016]	24634294365.279037
[11, 2018]	16034859008.681648
[12, 2015]	55899526672.35498
[12, 2017]	33423472930.407898
[2, 2016]	69180681134.38954
[2, 2018]	23636574203.828873
[3, 2017]	23232083087.910202
[3, 2019]	18091340267.2465
[4, 2016]	23359978331.676765
[4, 2018]	13149523170.45877
[5, 2017]	23568661138.035046
[5, 2019]	14480574461.419468
[6, 2016]	23021831286.57488
[6, 2018]	16536952425.540333
[7, 2017]	25463022668.143833
[8, 2016]	22407628763.365406
[8, 2018]	18478650928.737164
[9, 2015]	56512934320.01927
[9, 2017]	30676555381.728436
[1, 2016]	56596270931.316185
[1, 2018]	52106060636.844185
[10, 2016]	32113146198.891758
[10, 2018]	14527572489.59486
[11, 2015]	53607614201.79755
[11, 2017]	15312465314.693539
[12, 2016]	50318068074.687996
[12, 2018]	16338844844.014513
[2, 2017]	23047230327.254387
[2, 2019]	28940599438.1487
[3, 2016]	32805967466.947445
[3, 2018]	15554999714.874079
[4, 2017]	22357075153.737774
[4, 2019]	11573133401.384796
[5, 2016]	23747073761.79113
[5, 2018]	17414613148.43696
[6, 2017]	30201664896.657127
[6, 2019]	15067557451.33386
[7, 2016]	22619213302.825947
[7, 2018]	27520561081.0211
[8, 2015]	160356354969.0592
[8, 2017]	25903650367.89669
[9, 2016]	25262249340.11566
[9, 2018]	15208159827.250359
